frame,timestamp,landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_valid,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_valid,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_valid,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_valid,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_valid,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_valid,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_valid,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_valid,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_valid,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_valid,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_valid,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_valid,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_valid,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_valid,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_valid,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_valid,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_valid,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_valid,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_valid,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_valid,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_valid,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_valid,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_valid,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_valid,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_valid,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_valid,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_valid,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_valid,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_valid,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_valid,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_valid,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_valid,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_valid
0,1767311151.957943,-280.7034497689267,115.02706740194243,572.5706819864758,1,-282.5846966778168,120.21069878539734,571.2416297018419,1,-283.06077373222627,120.11835741210501,569.7320985036213,1,-283.3975077619133,119.94941637430381,567.8689380845404,1,-281.011499644722,119.40221959226162,574.8030526589276,1,-280.35395387534544,120.72779258255515,575.1726993421522,1,-278.66465917778635,120.7196466926695,574.4492372770209,1,-280.66401707214817,119.47613897012182,563.657269014531,1,-276.73517315694454,121.39556630996032,578.1915614816191,1,-278.8100992323331,112.89339492762211,565.8687382609585,1,-276.88097675496533,113.83993756252084,571.7424254760524,1,-272.0684578168159,113.66137759484002,552.5594243812468,1,-265.86398930070374,111.30193419167173,556.4695390347574,1,-286.65513118150614,131.7124132064732,600.5093437638089,1,-276.1395804659125,106.86914663510584,560.870065157125,1,0.0,0.0,0.0,0,-279.99488683531627,110.00599003702803,565.4091105777088,1,0.0,0.0,0.0,0,-280.88261760137266,110.70516770484193,566.1700432543219,1,0.0,0.0,0.0,0,-277.78719132944144,109.20784798167114,569.950735035628,1,0.0,0.0,0.0,0,-278.39431474766565,107.96339991652859,565.7671426665001,1,-254.95495567883586,22.983809817839962,459.5819370571253,1,-249.2021855952862,23.042493278328703,462.648729832924,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1,1767311154.5290315,-263.2392552449576,18.798498544301815,492.68857710980956,1,-261.83885234854756,18.2003492197664,483.7798629091293,1,-260.90373225508677,18.26373861366802,482.4150199353967,1,-259.9532783748434,18.29744479774276,481.20906021948616,1,-264.5304694483678,17.84610983021496,489.38246299238915,1,-265.20966721739205,18.068044605341232,491.6039116458262,1,-265.33395842445316,18.042190159488534,493.5829896042078,1,-256.5247132528409,19.457406785248093,483.61137267787456,1,-265.1827532931109,19.05573430476934,504.6132469357152,1,-260.43474295299313,21.007952285821794,498.3318142098061,1,-263.62830578296985,20.72128882380045,506.453240674241,1,-241.6130459941171,36.15514218035547,502.8687477319852,1,-267.4967062368207,32.103668509641494,559.1128931163769,1,-235.10064411421445,64.06904794642821,520.3062731886729,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-240.324259647463,32.006241614849,484.37221182375947,1,-252.9180684926253,36.90318358988211,562.0513937171388,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,1767311154.6271036,-241.74403357152354,-46.56813906522798,441.712132788235,1,-237.4935710826825,-48.74831293716723,429.936211236449,1,-235.22233319622296,-48.69977287012901,428.2981983069714,1,-233.29712416398849,-48.71521473420134,427.5219555000405,1,-244.11705793285847,-48.86909561764973,436.0720361403216,1,-246.00756378254943,-48.92953500446011,438.9201913139295,1,-247.96990984668767,-48.9966925875612,442.1062509785214,1,-229.6443466021392,-47.76727447701044,434.2721196082278,1,-250.366765946288,-48.42022838539308,457.65661443361034,1,-237.6290497133674,-43.3781573731882,451.7200937755044,1,-246.6692120460148,-43.999000390494515,461.5965073841635,1,-209.16770387648177,-25.35068273769355,468.2765786550516,1,-279.14988966875416,-29.056728360239315,589.0878390106201,1,-189.25938406792042,6.384500218539428,473.32945498957804,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-219.79283249605055,51.18905224371611,538.3067475966924,1,-269.4674551459168,62.84928851090694,659.0403161918987,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3,1767311154.7214818,-241.5091590084382,-51.12625087713272,441.9860110631348,1,-236.8929729243503,-53.49621821686926,430.6742026295674,1,-234.75315122771923,-53.47306493071862,429.58276128386865,1,-232.74838005223626,-53.42277927402996,428.6385769737169,1,-243.58576855505834,-53.66362939470204,436.44590939192574,1,-246.0108159201741,-53.70676956760534,439.4030555917548,1,-248.2442559027332,-53.73410682069221,442.30711509921036,1,-229.05229349414358,-52.34234797479234,434.50661504378127,1,-251.55973182083363,-52.99491283498816,457.74825807099194,1,-238.00804144910157,-48.15915424614208,452.73880150515095,1,-247.26632533317596,-48.494927942489475,462.8608220254663,1,-209.95381676394945,-30.518939196780746,470.3548451331234,1,-288.5570600978783,-33.11156268378389,600.4340473700794,1,-189.4365760567682,2.3619181212444156,479.5477055224652,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-220.420213956302,55.31838841445521,548.5304144521629,1,-279.02646873621467,67.71630500022086,674.3184061965198,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4,1767311154.8183458,-243.5137046301826,-51.348253138490506,443.71483005552403,1,-238.9221806613887,-53.582746065927594,430.8248876418008,1,-236.78422897783287,-53.61281153947245,429.99093899008693,1,-234.7155775839527,-53.55891872843637,428.86938975133273,1,-245.30909814914432,-53.65436868187934,436.6850574520716,1,-247.72133661518416,-53.671078564583325,439.6313234952401,1,-249.8191601820952,-53.713461790491735,442.59360186728895,1,-230.7478038445645,-52.61925067534309,435.2095955941021,1,-252.71025404585646,-52.91345173934914,458.62752135754766,1,-239.8264862398051,-48.55504469986884,455.25243213303145,1,-248.88188171336205,-48.676215596883196,465.8181461060861,1,-211.86588743485225,-31.390965746716045,474.58012469711935,1,-291.27078414210337,-34.46264712787096,612.1448658697362,1,-193.67538058909003,2.417262087532645,479.82695877918786,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-222.53906942604482,57.64351009060307,560.3709082079138,1,-283.87634418029364,71.35185549026367,697.8508389868244,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
5,1767311154.934387,-247.07181202436882,-51.78491130458123,450.5025037409569,1,-242.1682278503955,-54.257883650371134,436.685859246881,1,-239.99312874183553,-54.25138294600302,435.61409046408613,1,-237.97062432677114,-54.24745721202698,434.73348388099646,1,-248.71738303185924,-54.41669057890915,442.93003612815295,1,-250.93241575710942,-54.477553247647464,445.92802842790235,1,-252.83541529310025,-54.560349337650145,448.76548349994533,1,-234.10593171572316,-53.335645683975855,441.23036554118465,1,-255.35856894791647,-53.96815474181262,464.2474194240094,1,-243.40913249446695,-48.81135761659915,461.8241493157266,1,-252.15124353927345,-48.913797679085654,472.9797810686067,1,-215.3912022909551,-32.160402249907904,482.13582131578625,1,-299.63949015074303,-35.58484368116999,622.124066386639,1,-195.89676641217616,2.878490662248066,493.02774383897196,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-226.70182266507624,58.839560995023916,583.5068974469214,1,-296.8196318321154,73.11771423433756,720.9801762950849,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6,1767311155.0931044,-248.44336471288184,-51.58673302793283,452.0393949359727,1,-243.4800110864755,-53.994003760491886,437.8550211926779,1,-241.13080223121574,-53.93665587303172,436.23126945740825,1,-238.72706330956055,-53.86316842293494,434.48803975485635,1,-249.61524075481825,-54.10701874784818,443.8443847415534,1,-251.75814927435155,-54.14787621351847,446.9772699183388,1,-253.71165924617685,-54.17025944759827,450.1368500218112,1,-234.61481179449757,-52.77035998402624,439.49627756677796,1,-255.9087954157564,-53.426817426644824,463.8381429791703,1,-245.14031655685073,-48.676910568521535,463.5030163073874,1,-253.07839620215464,-48.8053722406775,473.5898754943415,1,-214.23555284786352,-31.371382195579212,482.2900407052517,1,-299.0876968973532,-35.07688107788434,618.8973996607891,1,-186.1697265146052,-3.3848078335392655,461.5903780837492,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-226.85110466516653,60.12970593872405,571.6613678407912,1,-288.1508955785256,74.31640649981362,690.2951923164209,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
7,1767311155.1897378,-245.8669176051949,-50.84472455885991,450.5898003246878,1,-240.6693432636799,-53.40682898098163,436.4436724965014,1,-238.18428739982122,-53.38966157568707,434.6475429204147,1,-235.8402331840569,-53.40458878227648,433.13309461918146,1,-247.1011768340423,-53.50797840687836,442.69978149877153,1,-249.374152666641,-53.5735419065137,445.64963527135234,1,-251.65084739611748,-53.62518668858986,448.87509091972333,1,-231.24589946809553,-52.537653714355514,437.1259899574842,1,-255.00024619576425,-53.11519644313941,461.9186976061835,1,-242.59523629418118,-47.71677050903054,461.25258164030646,1,-251.42506595293082,-48.05282130796375,470.92405608864783,1,-211.03383841014335,-30.801418556967402,475.38285462051704,1,-298.64784087697967,-34.47466791726311,614.6756773587946,1,-177.33727048104058,-9.331816920679112,434.03524967476636,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-225.16792350818017,58.24393119298312,558.7739093782646,1,-285.76771042311555,73.53702943327116,680.9774201867916,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
8,1767311155.2990665,-242.28710742882254,-51.09171878796438,447.6594651905294,1,-237.20563443491636,-53.61794574188062,433.79474887883464,1,-234.60806982623663,-53.54899029535553,431.789299635885,1,-232.15752670077768,-53.4825619741733,429.9736851844227,1,-243.6863699548,-53.74894490294779,440.16834421046417,1,-245.96894268615665,-53.78768551819068,442.9850885462389,1,-248.06366889148765,-53.82730873702535,445.85661827588814,1,-227.85782408497664,-52.23774642637355,433.6625223502597,1,-251.8485060772083,-52.95516306024416,458.90332767175494,1,-238.67820991872816,-47.7900242480966,456.76843745349896,1,-247.8911782537087,-48.199751982392456,466.92888218238215,1,-207.83716908553276,-30.488185298195575,464.7152730940958,1,-294.3391259013174,-33.62496987243684,605.4406316649024,1,-173.05556104631685,-14.058117783395812,415.8733867987365,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-224.88510128833843,58.473385967814146,552.7957534658711,1,-283.82599273720496,71.87875850670981,669.3206454967193,1,-206.11604699906164,97.8061121688141,448.7342606080918,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
9,1767311155.3983207,-234.18548337651947,-50.36140099557883,436.6064490545291,1,-229.304317863262,-52.83034661658239,423.68537012571096,1,-226.6407889326855,-52.71220140558902,421.40411620610564,1,-224.1260534450757,-52.61326246638967,419.4374548908753,1,-235.57130324160474,-53.07059420815303,430.1845838319046,1,-237.4773704984417,-53.10579462211756,432.7073467841262,1,-239.51667097258138,-53.146369078793576,435.5329026866738,1,-219.12247006250703,-51.14421594211008,421.8299543312104,1,-242.6697862558076,-52.16769561780577,448.49646793685645,1,-230.26847638645575,-46.98533191338046,444.05430210087746,1,-238.87479614613827,-47.35080464983233,453.71794537608616,1,-199.40357452222594,-29.955036521197727,449.6176358523155,1,-281.11371408663354,-32.50297686331442,571.8782293367053,1,-168.27625991469662,-13.434696154710037,409.41688239503094,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-211.8140965489697,56.784830776557186,529.7880872332892,1,-264.3323816751033,68.66955490366408,623.9863374200303,1,-200.6366492282991,95.11265669869499,431.35432499064433,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
